row_index,time,midi,conf,rms,flux,abs_dm,local_pitch_std,onset_probability,offset_probability,onset_label_corrected,offset_label_corrected
55,0.55,57.16033725311239,0.0072452751919627,0.0168411470949649,0.2815375328063965,0.009704322162733,0.0107213425503285,0.0072597946436023,0.001302185279528,0,0
56,0.56,57.14092860878692,0.0079838391393423,0.0187096633017063,0.2509714663028717,0.009704322162733,0.0197757093280729,0.0166626143763159,0.001302185279528,0,0
57,0.57,57.14092860878692,0.0089241825044155,0.0286558009684085,0.3642995655536651,0.0,0.0324446576968375,0.0293263997182377,0.0028396247867872,0,0
58,0.58,57.14092860878692,0.00939073972404,0.0556595884263515,0.4946971535682678,0.0,0.2502306707836454,0.0789965793488499,0.008525278964511,0,0
59,0.59,57.14092860878692,0.2782419919967651,0.0854042395949363,0.5060574412345886,0.0289225137743613,0.3559380723247616,0.1304305152340652,0.0106628173302769,0,0
60,0.6,57.198773636335645,0.544804573059082,0.142422154545784,0.3374113142490387,0.0470439367054673,0.5277986708877918,0.2030365781801928,0.0372310610238482,0,0
61,0.61,57.23501648219786,0.5522260665893555,0.1632168889045715,1.1830689907073977,0.3551835564662262,0.6174352950573329,0.355461263974507,0.0357372040750242,1,0
62,0.62,57.9091407492681,0.6018397212028503,0.1753524541854858,0.6353516578674316,0.3945292091535002,0.6897283626403,0.6222684095675576,0.053103559157862,1,0
63,0.63,58.02407490050486,0.715319812297821,0.1871760338544845,0.0238613039255142,0.3221804820174228,0.7532475841066061,0.7777555789362968,0.0556677707103217,1,0
64,0.64,58.55350171330294,0.8574510216712952,0.2033927291631698,0.087799996137619,0.2803513271801776,0.7464101735584022,0.6377939432686599,0.0746951348518418,0,0
65,0.65,58.58477755486521,0.8801000118255615,0.2030023336410522,0.2247263193130493,0.1303248399909051,0.6771314365238119,0.6775544667385042,0.089574374609546,0,0
66,0.66,58.81415139328475,0.8961756229400635,0.2350146323442459,0.2376578450202942,0.2762891932011264,0.5104533818607634,0.3715379835479708,0.0636708856194625,0,0
67,0.67,59.137355941267465,0.91882985830307,0.2591230273246765,0.2042933255434036,0.1819075315155736,0.424403769216377,0.3930511141863069,0.0767476289312781,0,0
68,0.68,59.1779664563159,0.91882985830307,0.2825002372264862,0.1262433677911758,0.0420169151228932,0.2862497071613071,0.3993395305530017,0.1004876223433028,0,0
