onset,offset,midi,hz,raw_midi,key
0.26,0.5099999999999998,62.50738340799487,302.3987426757813,62.50738340799487,Eb major
0.69,0.8499999999999998,59.77359641991161,258.22640991210943,59.77359641991161,Eb major
1.02,1.5299999999999998,62.49925757011363,302.2568400499733,62.49925757011363,Eb major
1.56,2.26,62.81238584478189,307.7734985351563,62.81238584478189,Eb major
2.3,3.0599999999999996,63.11642128369343,313.2262878417969,63.11642128369343,Eb major
2.96,3.21,61.538008691551155,285.9317674989571,61.538008691551155,Eb major
3.2,3.46,59.57817174926751,255.3278961181641,59.57817174926751,Eb major
3.55,4.43,57.028089196801325,220.3572387695312,57.028089196801325,Eb major
4.67,5.04,59.26853334936649,250.80184644327025,59.26853334936649,Eb major
5.05,5.41,57.63555825519715,228.22656250000003,57.63555825519715,Eb major
5.81,6.1499999999999995,55.61239851594655,203.054931640625,55.61239851594655,Eb major
6.15,6.27,59.59956051889615,255.64353942871094,59.59956051889615,Eb major
6.34,6.64,58.599861172556245,241.29956054687503,58.599861172556245,Eb major
6.93,7.25,60.7611809147468,273.38522338867193,60.7611809147468,Eb major
7.31,7.43,59.71319972347143,257.3271179199219,59.71319972347143,Eb major
7.53,7.79,57.566871027504575,227.32286071777338,57.566871027504575,Eb major
8.14,9.01,54.83141949496648,194.09843444824227,54.83141949496648,Eb major
9.2,9.42,62.45824902445239,301.54171752929705,62.45824902445239,Eb major
10.02,10.26,59.70665510334405,257.2298583984375,59.70665510334405,Eb major
10.35,10.93,62.65923492506395,305.0628356933594,62.65923492506395,Eb major
10.96,11.27,62.988628177044376,310.922683256989,62.988628177044376,Eb major
11.28,11.53,62.84239897919927,308.3075256347656,62.84239897919927,Eb major
11.54,11.79,63.82525926349187,326.3172217015041,63.82525926349187,Eb major
11.94,12.17,62.3142788841591,299.0444820701643,62.3142788841591,Eb major
12.18,12.33,61.58357305111659,286.6853026732431,61.58357305111659,Eb major
12.54,12.79,59.71139901887395,257.3003540039063,59.71139901887395,Eb major
12.79,13.03,59.69856896847065,257.10974121093756,59.69856896847065,Eb major
13.28,13.65,54.771258834397145,193.4251098632812,54.771258834397145,Eb major
13.85,14.19,59.053401730745904,247.70454406738284,59.053401730745904,Eb major
14.2,14.52,57.50835259424127,226.55577087402352,57.50835259424127,Eb major
14.75,14.879999999999999,62.568887083764125,303.47495245026937,62.568887083764125,Eb major
15.05,15.37,55.85940188949466,205.97277832031244,55.85940188949466,Eb major
15.38,15.53,60.340176051241244,266.81717358430956,60.340176051241244,Eb major
15.57,15.91,58.57667613243177,240.9766235351563,58.57667613243177,Eb major
15.92,16.25,59.34107749712795,251.85498996471125,59.34107749712795,Eb major
16.13,16.46,60.75361341475215,273.2657484637498,60.75361341475215,Eb major
16.47,16.67,59.6330567059974,256.1386413574218,59.6330567059974,Eb major
16.73,17.009999999999998,58.89295594444757,245.41949462890642,58.89295594444757,Eb major
17.02,17.270000000000003,55.05920790444625,196.66917431970361,55.05920790444625,Eb major
17.3,18.060000000000002,54.49073472265402,190.31616210937497,54.49073472265402,Eb major
18.62,18.82,62.51140134670128,302.4689331054686,62.51140134670128,Eb major
18.89,19.1,59.569055686793504,255.19348492463197,59.569055686793504,Eb major
19.11,19.33,57.945059336979455,232.3433685302734,57.945059336979455,Eb major
19.43,20.71,57.54112247049228,226.9850158691406,57.54112247049228,Eb major
20.74,21.65,54.80276001139586,193.77738259296993,54.80276001139586,Eb major
21.76,21.92,62.43499358142167,301.136932373047,62.43499358142167,Eb major
22.29,22.71,62.53400844325648,302.86416625976574,62.53400844325648,Eb major
23.25,23.39,62.64409518320745,304.79617309570307,62.64409518320745,Eb major
23.66,24.689999999999998,57.51793684080409,226.68122863769528,57.51793684080409,Eb major
24.78,24.92,57.39912361458714,225.13085937500009,57.39912361458714,Eb major
