onset,offset,midi,hz
0.0,0.9799999999999998,60.90588678576337,275.6799011230468
1.09,1.7999999999999998,63.154160463118195,313.90983473987006
1.93,2.28,65.90353807868466,367.9385986328125
2.37,2.6999999999999997,63.72815912848888,324.4921215809442
2.83,3.8499999999999996,58.883726730464474,245.28869628906247
3.96,4.8,53.67765510020655,181.5845489501953
4.9,5.26,51.61012537806005,161.14364624023438
5.4,5.72,58.80195875816859,244.1329040527344
5.77,6.13,57.084125260569586,221.0716400146484
6.25,7.42,59.92564212244322,260.5042724609375
7.91,8.33,62.05799172297357,294.6501159667969
8.39,8.76,59.91761909799385,260.3835754394532
8.84,9.59,58.87108079294053,245.10958862304693
9.71,10.07,56.990129410049406,219.87460327148435
10.12,10.59,54.236217618881405,187.538698464054
10.58,11.36,59.024546128842125,247.29202270507812
11.47,12.23,57.11841328607275,221.50991821289057
12.34,15.02,52.12556649923727,166.01351928710935
