onset,offset,midi,hz
0.23,0.3899999999999998,57.41156407343701,225.2926940917969
0.41,0.5799999999999997,59.90199948418056,260.1487570027739
0.61,0.8099999999999998,56.58392174680162,214.77563476562503
0.85,1.4399999999999997,59.86828154675388,259.6425780092925
1.5,1.7299999999999998,57.43582579053564,225.60864325249884
1.75,2.17,60.05977935975407,262.530517578125
2.22,2.61,62.062952459588416,294.7345581054687
2.69,3.2699999999999996,60.27236452341288,265.77410888671875
3.69,3.9099999999999997,57.299229595513395,223.8355712890625
4.06,4.25,60.60451472176702,270.9224130217561
4.29,4.4799999999999995,57.31141180493868,223.9931335449219
4.55,5.17,59.98392096982018,261.38269042968744
5.27,5.4399999999999995,56.7259770874975,216.54521312656703
5.47,5.83,59.867585625728715,259.6321411132812
5.92,6.33,64.02820606383621,330.16503906250017
6.41,6.97,59.996561555792795,261.57360839843756
7.59,7.95,63.88830796191255,327.5077819824218
8.01,8.4,64.03871140130053,330.36544799804693
8.46,8.86,63.89483529171064,327.63128662109375
8.92,9.32,69.01912940799482,440.4864501953125
9.38,9.76,67.24521960297291,397.5873413085938
9.82,10.01,63.88889031197147,327.518798828125
10.05,10.51,64.12225324562169,331.9635009765626
10.57,11.54,62.133482244191036,295.937744140625
