onset,offset,midi,hz
0.12,0.3499999999999998,40.66199992658312,85.619037213862
0.43,0.5799999999999997,40.135086308441046,83.05241642906456
0.68,0.8399999999999997,39.58649491174477,80.46192169189453
0.93,1.1099999999999999,41.48357597725215,89.78013610839845
1.17,1.3399999999999999,42.62866386729891,95.91924308496718
1.4,1.5799999999999998,43.08032885858991,98.45462799072268
1.66,2.17,43.33010314094585,99.88538122066447
2.16,2.4099999999999997,45.14188999388752,110.90525222310657
2.4,2.6599999999999997,44.87507443731964,109.20909881591794
2.65,2.9099999999999997,44.9089795225988,109.42318725585938
2.9,3.0999999999999996,48.64437478805305,135.77345275878906
3.16,3.71,43.21085089484499,99.19970703125
4.19,4.319999999999999,41.4315653002447,89.5108184814453
4.41,4.569999999999999,41.343507776525286,89.0566864013672
4.64,4.81,41.125778672030094,87.94367621894986
4.88,5.13,45.280499323750135,111.7967669422686
5.18,5.31,40.45135674925597,84.58360290527345
5.41,5.55,40.06990826351618,82.74032592773439
5.67,6.05,40.064462250714314,82.71430206298827
7.17,8.0,43.064016540410805,98.36190414268867
