onset,offset,midi,hz
0.0,0.12999999999999978,40.108958450601236,82.92716790582153
0.29,1.0999999999999999,41.59072045226755,90.33750002972378
1.16,1.4799999999999998,44.9281795697024,109.54460906982422
1.47,2.26,44.84979485766823,109.04974742980983
2.62,3.48,41.149308679777874,88.06328582763676
3.56,3.8299999999999996,39.78717779323529,81.40005493164062
3.99,4.64,37.678423533243645,72.06507464677922
5.13,6.0,40.05695860404562,82.67845916748047
6.08,6.33,42.24116862946301,93.79616937403884
6.4,7.09,44.78600190949122,108.64865760131137
7.31,7.64,41.136306003842066,87.9971694946289
7.63,8.64,39.69263195219466,80.95672607421876
9.04,9.209999999999999,52.4125740717688,168.78866577148438
9.41,9.549999999999999,52.12701445611718,166.02740478515628
9.62,9.77,52.21523666002851,166.87562561035153
10.06,10.5,42.06660624539376,92.85516357421879
10.49,11.02,41.78026209559652,91.33198104899768
11.1,11.42,44.14456088022276,104.69676971435547
11.41,12.22,44.65670024111511,107.8402099609375
12.59,12.87,47.666353364210174,128.3158721923828
12.86,13.35,49.679733103021874,144.14105224609378
13.36,13.59,49.96065373748439,146.4990526351145
13.62,13.89,52.062308599007594,165.4080261205693
13.89,14.18,53.71745715756012,182.00250244140622
14.2,14.66,53.568356603219286,180.44175720214844
15.11,16.060000000000002,51.68772200644895,161.8675384521484
16.05,16.380000000000003,45.832889319010036,115.4214185330732
16.37,17.009999999999998,51.55505522499807,160.63186645507812
17.0,17.6,46.428442791705905,119.46105957031253
17.63,19.36,49.76512106836258,144.85374119170817
