onset,offset,midi,hz
0.2,1.4199999999999997,65.09832690973265,351.21734619140625
1.41,1.7799999999999998,66.07619523128439,371.62643432617176
1.82,2.55,68.27084317157562,421.85302734003653
2.62,3.34,75.03794361279793,623.6192626953124
3.41,4.1,73.04345641749123,555.7585449218749
4.17,4.51,72.08184393070111,525.7306518554686
4.56,4.91,72.96389668701006,553.2103881835939
4.97,5.64,72.16161936687385,528.1588140990982
5.75,6.41,64.88882481653462,346.9927673339845
7.0,8.209999999999999,70.25026829965772,472.9515991210939
8.27,8.58,70.03949537322565,467.228454589844
8.65,9.29,68.05736246021611,416.68304443359375
9.36,10.15,60.797395721986774,273.9577026367188
10.38,10.68,65.79095125796046,365.5535583496092
10.74,11.04,64.65786590889974,342.3943786621093
11.09,11.5,62.61100392942726,304.2141342745801
11.52,11.89,60.814478277665785,274.2281575392249
11.88,12.58,60.82049544820427,274.32348632388124
